Quantity,"Unit of
Measure","Average Price
January 2024","Average Price
December
2024","Average Price
January 2025","% Change over
last month
January
2025/
December
2024"
1,Kilogram,99.76,125.05,120.14,-3.9
1,Litre,329.16,346.21,344.68,-0.4
1,Kilogram,71.10,61.60,62.22,1.0
1,Kilogram,209.55,159.69,161.34,1.0
1,Kilogram,86.87,106.60,108.61,1.9
1,Kilogram,63.19,79.85,82.93,3.9
1,Kilogram,60.52,73.18,76.87,5.0
1,Kilogram,91.93,94.90,101.37,6.8
1,Kilogram,65.18,66.89,78.88,17.9
50,kWh,"1,579.00","1,282.11","1,272.81",-0.7
13,Kg,"3,055.51","3,143.85","3,122.16",-0.7
200,kWh,"7,447.00","5,743.10","5,705.92",-0.6
1,Month,"6,570.12","6,733.24","6,739.74",0.1
1,Month,"12,647.83","12,805.70","12,824.45",0.1
1,Month,"4,065.09","4,133.25","4,162.61",0.7
1,Litre,194.96,149.18,152.18,2.0
1,Ticket,"1,800.00","2,000.00","1,500.00",-25.0
1,Litre,197.21,165.82,167.84,1.2
1,Litre,207.97,176.96,177.25,0.2
1,Per year,"30,095.00","30,106.14","30,935.05",2.8
